mics,hemisphere,network,label,t1_gradient1_SalVentAttn,fc_g1,fc_g1_network,network_int,t1_gradient1_Limbic,t1_gradient1_Default,t1_gradient1_Cont,t1_gradient1_DorsAttn,t1_gradient1_Vis,t1_gradient1_SomMot,Limbic_SC_P,Limbic_SC_dominant,Default_SC_P,Default_SC_dominant,Cont_SC_P,Cont_SC_dominant,SalVentAttn_SC_P,SalVentAttn_SC_dominant,DorsAttn_SC_P,DorsAttn_SC_dominant,Vis_SC_P,Vis_SC_dominant,SomMot_SC_P,SomMot_SC_dominant,Limbic_GD_P,Limbic_GD_dominant,Default_GD_P,Default_GD_dominant,Cont_GD_P,Cont_GD_dominant,SalVentAttn_GD_P,SalVentAttn_GD_dominant,DorsAttn_GD_P,DorsAttn_GD_dominant,Vis_GD_P,Vis_GD_dominant,SomMot_GD_P,SomMot_GD_dominant,Limbic_MPC_P,Limbic_MPC_dominant,Default_MPC_P,Default_MPC_dominant,Cont_MPC_P,Cont_MPC_dominant,SalVentAttn_MPC_P,SalVentAttn_MPC_dominant,DorsAttn_MPC_P,DorsAttn_MPC_dominant,Vis_MPC_P,Vis_MPC_dominant,SomMot_MPC_P,SomMot_MPC_dominant,Limbic_FC_P,Limbic_FC_dominant,Default_FC_P,Default_FC_dominant,Cont_FC_P,Cont_FC_dominant,SalVentAttn_FC_P,SalVentAttn_FC_dominant,DorsAttn_FC_P,DorsAttn_FC_dominant,Vis_FC_P,Vis_FC_dominant,SomMot_FC_P,SomMot_FC_dominant
1141.0,LH,Cont,7Networks_LH_Cont_PFCl_7,,-6.385073,-4.458974,0.0,,,-0.19733829516605583,,,,,,,,0.1438346188957097,1.0,,,,,,,,,,,,,-0.08410029017057416,1.0,,,,,,,,,,,,,0.5192124817998377,1.0,,,,,,,,,,,,,-0.23417090424260398,1.0,,,,,,,,
1140.0,LH,Cont,7Networks_LH_Cont_PFCl_6,,-6.4696903,-4.458974,0.0,,,-0.4350026484822022,,,,,,,,0.12538039223669958,1.0,,,,,,,,,,,,,-0.1520384338352711,1.0,,,,,,,,,,,,,0.38082720185101604,1.0,,,,,,,,,,,,,-0.5707188140874506,1.0,,,,,,,,
1140.0,LH,Cont,7Networks_LH_Cont_PFCl_6,,-6.372505,-4.458974,0.0,,,0.054561065262214034,,,,,,,,0.13647888076009762,1.0,,,,,,,,,,,,,-0.2222068130414668,1.0,,,,,,,,,,,,,0.17941893099026165,1.0,,,,,,,,,,,,,-0.6645956893886857,1.0,,,,,,,,
1140.0,LH,Cont,7Networks_LH_Cont_PFCl_6,,-5.8812437,-4.458974,0.0,,,-0.17195047307080252,,,,,,,,-0.29779619039058197,1.0,,,,,,,,,,,,,-0.2765055936607146,1.0,,,,,,,,,,,,,0.3187410204142863,1.0,,,,,,,,,,,,,-1.0127414585610457,1.0,,,,,,,,
1140.0,LH,Cont,7Networks_LH_Cont_PFCl_6,,-5.288745,-4.458974,0.0,,,-0.016276844754236016,,,,,,,,-0.1731063706512065,1.0,,,,,,,,,,,,,-0.3423168097709004,1.0,,,,,,,,,,,,,0.07282100642442017,1.0,,,,,,,,,,,,,-0.6487196032863738,1.0,,,,,,,,
1140.0,LH,Cont,7Networks_LH_Cont_PFCl_6,,-4.5406594,-4.458974,0.0,,,-0.13982678619740155,,,,,,,,-0.2015257766285172,1.0,,,,,,,,,,,,,-0.41020834284497154,1.0,,,,,,,,,,,,,0.10964791880750524,1.0,,,,,,,,,,,,,-0.04961796273067237,1.0,,,,,,,,
1139.0,LH,Cont,7Networks_LH_Cont_PFCl_5,,-3.5929568,-4.458974,0.0,,,0.9204503718285632,,,,,,,,-0.5288690133501852,1.0,,,,,,,,,,,,,-0.4917061132948597,1.0,,,,,,,,,,,,,1.0486784425082358,1.0,,,,,,,,,,,,,0.2290712112282572,1.0,,,,,,,,
1139.0,LH,Cont,7Networks_LH_Cont_PFCl_5,,-2.4652934,-4.458974,0.0,,,-0.7778472766228878,,,,,,,,-0.9729817059481942,1.0,,,,,,,,,,,,,-0.5793599704668754,1.0,,,,,,,,,,,,,-0.12307067600676003,1.0,,,,,,,,,,,,,0.46789185416790047,1.0,,,,,,,,
1139.0,LH,Cont,7Networks_LH_Cont_PFCl_5,,-1.9000692,-4.458974,0.0,,,-0.24986449519657278,,,,,,,,-1.1420740903828437,1.0,,,,,,,,,,,,,-0.674019501067869,1.0,,,,,,,,,,,,,-0.1498724795477171,1.0,,,,,,,,,,,,,0.5033843816867536,1.0,,,,,,,,
1139.0,LH,Cont,7Networks_LH_Cont_PFCl_5,,-1.7703575,-4.458974,0.0,,,-0.6010278083422366,,,,,,,,-1.0641457282471674,1.0,,,,,,,,,,,,,-0.7762588836064253,1.0,,,,,,,,,,,,,-0.19175592136298644,1.0,,,,,,,,,,,,,0.8668963325656422,1.0,,,,,,,,
