mics,hemisphere,network,label,t1_gradient1_SalVentAttn,fc_g1,fc_g1_network,network_int,t1_gradient1_Limbic,t1_gradient1_Default,t1_gradient1_Cont,t1_gradient1_DorsAttn,t1_gradient1_Vis,t1_gradient1_SomMot,Limbic_SC_P,Limbic_SC_dominant,Default_SC_P,Default_SC_dominant,Cont_SC_P,Cont_SC_dominant,SalVentAttn_SC_P,SalVentAttn_SC_dominant,DorsAttn_SC_P,DorsAttn_SC_dominant,Vis_SC_P,Vis_SC_dominant,SomMot_SC_P,SomMot_SC_dominant,Limbic_GD_P,Limbic_GD_dominant,Default_GD_P,Default_GD_dominant,Cont_GD_P,Cont_GD_dominant,SalVentAttn_GD_P,SalVentAttn_GD_dominant,DorsAttn_GD_P,DorsAttn_GD_dominant,Vis_GD_P,Vis_GD_dominant,SomMot_GD_P,SomMot_GD_dominant,Limbic_MPC_P,Limbic_MPC_dominant,Default_MPC_P,Default_MPC_dominant,Cont_MPC_P,Cont_MPC_dominant,SalVentAttn_MPC_P,SalVentAttn_MPC_dominant,DorsAttn_MPC_P,DorsAttn_MPC_dominant,Vis_MPC_P,Vis_MPC_dominant,SomMot_MPC_P,SomMot_MPC_dominant,Limbic_FC_P,Limbic_FC_dominant,Default_FC_P,Default_FC_dominant,Cont_FC_P,Cont_FC_dominant,SalVentAttn_FC_P,SalVentAttn_FC_dominant,DorsAttn_FC_P,DorsAttn_FC_dominant,Vis_FC_P,Vis_FC_dominant,SomMot_FC_P,SomMot_FC_dominant
1136.0,LH,Cont,7Networks_LH_Cont_PFCl_2,,-3.4628983,-4.458974,0.0,,,-0.2976423310770659,,,,,,,,-0.8254580205783608,1.0,,,,,,,,,,,,,-1.2839915501423278,1.0,,,,,,,,,,,,,-0.6509024759302534,1.0,,,,,,,,,,,,,0.7894380174250551,1.0,,,,,,,,
1136.0,LH,Cont,7Networks_LH_Cont_PFCl_2,,-3.197553,-4.458974,0.0,,,-0.4974252262710854,,,,,,,,-0.6287409041158927,1.0,,,,,,,,,,,,,-1.232568780381567,1.0,,,,,,,,,,,,,-0.6498101279090374,1.0,,,,,,,,,,,,,0.3192718805343582,1.0,,,,,,,,
1136.0,LH,Cont,7Networks_LH_Cont_PFCl_2,,-4.508076,-4.458974,0.0,,,-0.7215987700679206,,,,,,,,-0.30066381726554015,1.0,,,,,,,,,,,,,-1.1922120214486949,1.0,,,,,,,,,,,,,-1.1780488671412224,1.0,,,,,,,,,,,,,-0.24274194676688582,1.0,,,,,,,,
1175.0,LH,Default,7Networks_LH_Default_PFC_10,,-6.5492167,-5.9749813,1.0,,-0.33139702495095996,,,,,,,-0.16329447817234857,0.0,,,,,,,,,,,,,-1.0903690384546383,5.0,,,,,,,,,,,,,-0.7074111098818479,5.0,,,,,,,,,,,,,-0.5584359154664041,0.0,,,,,,,,,,
1175.0,LH,Default,7Networks_LH_Default_PFC_10,,-7.6993594,-5.9749813,1.0,,1.193204960324767,,,,,,,-0.08448904192779803,0.0,,,,,,,,,,,,,-0.7244273968098195,5.0,,,,,,,,,,,,,1.3507650701347387,5.0,,,,,,,,,,,,,-0.5829781754692513,0.0,,,,,,,,,,
1175.0,LH,Default,7Networks_LH_Default_PFC_10,,-7.8831944,-5.9749813,1.0,,0.30299980238449825,,,,,,,-0.2211683257494244,0.0,,,,,,,,,,,,,-0.48095401890718603,5.0,,,,,,,,,,,,,0.48975250677966425,5.0,,,,,,,,,,,,,-0.6402297087286032,0.0,,,,,,,,,,
1175.0,LH,Default,7Networks_LH_Default_PFC_10,,-7.4029326,-5.9749813,1.0,,-0.7368856534595969,,,,,,,-0.1230936495508882,0.0,,,,,,,,,,,,,-0.3195383329931226,4.0,,,,,,,,,,,,,-0.5644628968782373,5.0,,,,,,,,,,,,,-0.5903121670712612,0.0,,,,,,,,,,
1175.0,LH,Default,7Networks_LH_Default_PFC_10,,-5.6148143,-5.9749813,1.0,,-0.36846600451714323,,,,,,,0.020124980914090554,4.0,,,,,,,,,,,,,-0.1493797578666671,4.0,,,,,,,,,,,,,-0.0778069875890632,5.0,,,,,,,,,,,,,-0.6002638722985033,0.0,,,,,,,,,,
1103.0,LH,SalVentAttn,7Networks_LH_SalVentAttn_FrOperIns_7,0.8882992452346269,-2.2388222,1.8356822,4.0,,,,,,,,,,,,,-1.0655050652724227,1.0,,,,,,,,,,,,,-1.031389637199103,1.0,,,,,,,,,,,,,0.9486384771081131,1.0,,,,,,,,,,,,,-2.247349398482049,1.0,,,,,,
1103.0,LH,SalVentAttn,7Networks_LH_SalVentAttn_FrOperIns_7,1.0526106325175797,1.0284077,1.8356822,4.0,,,,,,,,,,,,,-0.978576008823006,1.0,,,,,,,,,,,,,-0.68829842368024,1.0,,,,,,,,,,,,,1.7081097232777065,5.0,,,,,,,,,,,,,-0.5107268339544108,1.0,,,,,,
