roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z,network,hemisphere,network_int,bigbrain_g2,bigbrain_g2_network,t1_gradient1_Limbic,quantile_idx,Limbic_diff,t1_gradient1_Default,Default_diff,t1_gradient1_Cont,Cont_diff,t1_gradient1_SalVentAttn,SalVentAttn_diff,t1_gradient1_DorsAttn,DorsAttn_diff,t1_gradient1_Vis,Vis_diff,t1_gradient1_SomMot,SomMot_diff
55,1054,7Networks_LH_SomMot_23,70.0,130.0,186.0,0.0,-9.0,-38.0,54.0,SomMot,LH,5.0,-0.11263612657785416,0.19480079292416475,,1.0,-0.36930496,,1.3720257,,0.15804595,,2.5651584,,1.6988493,,-0.1349182,0.9087444598542517,
56,1055,7Networks_LH_SomMot_24,70.0,130.0,187.0,0.0,-4.0,-25.0,56.0,SomMot,LH,5.0,0.2609231173992157,0.19480079292416475,,1.0,-0.46443647,,1.9775984,,-0.47395515,,2.6280928,,1.1742365,,-0.37091583,1.1350829546425323,
57,1056,7Networks_LH_SomMot_25,70.0,131.0,180.0,0.0,-4.0,-9.0,59.0,SomMot,LH,5.0,0.29642564058303833,0.19480079292416475,,,-0.50656295,,1.9534535,,-0.65212643,,2.6987305,,0.6992881,,0.010731778,0.3602807233575112,
58,1057,7Networks_LH_SomMot_26,70.0,131.0,181.0,0.0,-36.0,-19.0,65.0,SomMot,LH,5.0,0.33530381321907043,0.19480079292416475,,1.0,0.7552336,,0.38507992,,0.014282423,,1.2530854,,-0.5441279,,1.0317221,0.5025478917320894,
59,1058,7Networks_LH_SomMot_27,70.0,131.0,182.0,0.0,-30.0,-46.0,63.0,SomMot,LH,5.0,-0.061381321400403976,0.19480079292416475,,,0.65455633,,-0.30544958,,1.6971942,,0.7595434,,0.08677468,,1.018117,0.034894051115960875,
60,1059,7Networks_LH_SomMot_28,70.0,131.0,183.0,0.0,-32.0,-29.0,63.0,SomMot,LH,5.0,0.31387245655059814,0.19480079292416475,,1.0,0.39647385,,-0.18401214,,0.3047122,,0.04039611,,-0.75795066,,1.2750021,1.1402887775496227,
61,1060,7Networks_LH_SomMot_29,70.0,131.0,184.0,0.0,-30.0,-38.0,65.0,SomMot,LH,5.0,0.20930157601833344,0.19480079292416475,,,0.68764025,,0.013419428,,0.95693296,,0.5664139,,-0.40720323,,1.1648906,-0.2896486494247796,
62,1061,7Networks_LH_SomMot_30,70.0,131.0,185.0,0.0,-23.0,-11.0,65.0,SomMot,LH,5.0,0.2667185068130493,0.19480079292416475,,,-0.29055497,,0.996326,,-0.041377008,,1.795237,,0.07093657,,0.46997333,0.021809173540571145,
63,1062,7Networks_LH_SomMot_31,70.0,131.0,186.0,0.0,-19.0,-24.0,67.0,SomMot,LH,5.0,0.45164725184440613,0.19480079292416475,,,0.3649797,,0.63452035,,0.013045491,,1.5045211,,0.68372655,,0.1196982,-0.198527926726335,
64,1063,7Networks_LH_SomMot_32,70.0,131.0,187.0,0.0,-9.0,-42.0,70.0,SomMot,LH,5.0,-0.03840557485818863,0.19480079292416475,,1.0,0.23620307,,1.0079042,,0.5686833,,2.040032,,1.3387507,,-0.032228522,0.5795594189434048,
65,1064,7Networks_LH_SomMot_33,70.0,132.0,180.0,0.0,-4.0,-25.0,69.0,SomMot,LH,5.0,0.35613811016082764,0.19480079292416475,,1.0,0.37241456,,1.4796803,,-0.28372642,,2.3273664,,1.2620045,,-0.106879875,1.045738809113299,
66,1065,7Networks_LH_SomMot_34,70.0,132.0,181.0,0.0,-14.0,-11.0,73.0,SomMot,LH,5.0,0.24934342503547668,0.19480079292416475,,,0.1447053,,1.3932849,,-0.29810315,,2.2878573,,0.7600511,,0.07835759,0.15273820473911112,
67,1066,7Networks_LH_SomMot_35,70.0,132.0,182.0,0.0,-19.0,-31.0,69.0,SomMot,LH,5.0,0.32606974244117737,0.19480079292416475,,1.0,0.28376117,,0.7291832,,0.5108573,,1.4351722,,0.5729306,,0.5078852,1.1280076276191682,
68,1067,7Networks_LH_SomMot_36,70.0,132.0,183.0,0.0,-19.0,-40.0,72.0,SomMot,LH,5.0,0.1805851012468338,0.19480079292416475,,-1.0,0.28420475,,0.62942743,,0.8163447,,1.5575193,,0.86787534,,0.5651867,-0.7324773760722084,
69,1068,7Networks_LH_SomMot_37,70.0,132.0,184.0,0.0,-12.0,-27.0,73.0,SomMot,LH,5.0,0.4114515781402588,0.19480079292416475,,,-0.11514668,,1.0625706,,-0.16420937,,1.9493635,,1.1684165,,0.06800931,0.09338127866207184,
70,1069,7Networks_LH_DorsAttn_Post_1,0.0,118.0,7.0,0.0,-45.0,-42.0,-21.0,DorsAttn,LH,2.0,-0.1841374933719635,0.11041316195674565,,,0.50197756,,-1.2622701,,0.49553,,-0.35688755,-1.132464477216342,,,1.5432967,,-1.6726516
71,1070,7Networks_LH_DorsAttn_Post_2,0.0,118.0,8.0,0.0,-49.0,-56.0,-15.0,DorsAttn,LH,2.0,-0.05213393643498421,0.11041316195674565,,,-0.2181761,,-1.209172,,0.8597323,,-0.39037845,-1.0005833164665936,,,2.117432,,-1.5102088
72,1071,7Networks_LH_DorsAttn_Post_3,0.0,118.0,9.0,0.0,-55.0,-62.0,-1.0,DorsAttn,LH,2.0,-0.07178538292646408,0.11041316195674565,,,-1.0114344,,-2.0137825,,0.4260524,,-0.60003674,-0.5393169333783194,,,3.3559308,,-1.4578023
73,1072,7Networks_LH_DorsAttn_Post_4,0.0,118.0,10.0,0.0,-48.0,-65.0,15.0,DorsAttn,LH,2.0,0.23108966648578644,0.11041316195674565,,,-0.5210662,,-2.673497,,0.36240417,,-0.4775516,-0.4115054548433685,,,4.413043,,-1.2269822
74,1073,7Networks_LH_DorsAttn_Post_5,0.0,118.0,11.0,0.0,-26.0,-70.0,31.0,DorsAttn,LH,2.0,0.42390382289886475,0.11041316195674565,,,0.3908437,,-0.25079298,,1.6943513,,-0.25033343,-1.13153871183189,,,-0.34126619,,-0.50647163
75,1074,7Networks_LH_DorsAttn_Post_6,0.0,118.0,12.0,0.0,-55.0,-32.0,45.0,DorsAttn,LH,2.0,-0.17062196135520935,0.11041316195674565,,,0.15353955,,-1.0582122,,0.90399384,,0.7738448,0.5373279646985372,,,0.5431066,,-0.79768515
76,1075,7Networks_LH_DorsAttn_Post_7,0.0,118.0,13.0,0.0,-23.0,-65.0,46.0,DorsAttn,LH,2.0,0.37867218255996704,0.11041316195674565,,,0.59786326,,-0.33909294,,2.334375,,-0.14852723,-0.3290281189386136,,,-0.103667386,,-0.8606993
77,1076,7Networks_LH_DorsAttn_Post_8,0.0,118.0,15.0,0.0,-46.0,-29.0,44.0,DorsAttn,LH,2.0,0.3884788453578949,0.11041316195674565,,,0.066770196,,-1.4544038,,0.44511175,,-0.08553438,-0.7700432438154365,,,1.2987716,,-0.9277236
78,1077,7Networks_LH_DorsAttn_Post_9,0.0,118.0,16.0,0.0,-33.0,-46.0,41.0,DorsAttn,LH,2.0,0.26273199915885925,0.11041316195674565,,,0.98696375,,-0.6457832,,1.0175159,,-0.5816972,-1.0204774329697583,,,1.0944511,,-1.1834382
79,1078,7Networks_LH_DorsAttn_Post_10,0.0,118.0,17.0,0.0,-29.0,-58.0,50.0,DorsAttn,LH,2.0,0.21027281880378723,0.11041316195674565,,,0.6096601,,-0.46668,,2.2146604,,0.13207537,-0.26134222005137675,,,0.14667462,,-1.0179392
80,1079,7Networks_LH_DorsAttn_Post_11,0.0,118.0,18.0,0.0,-39.0,-37.0,49.0,DorsAttn,LH,2.0,0.2282896786928177,0.11041316195674565,,,0.61442316,,-1.046234,,1.1951841,,-0.1395185,-0.509881785199783,,,1.8617861,,-0.98893726
81,1080,7Networks_LH_DorsAttn_Post_12,0.0,118.0,19.0,0.0,-36.0,-52.0,56.0,DorsAttn,LH,2.0,-0.08914031833410263,0.11041316195674565,,,0.78458637,,-0.5004349,,1.9458587,,0.07443062,-0.2769917483393581,,,0.65272313,,-0.6004432
82,1081,7Networks_LH_DorsAttn_Post_13,0.0,118.0,20.0,0.0,-15.0,-71.0,57.0,DorsAttn,LH,2.0,0.15078242123126984,0.11041316195674565,,,0.7177244,,0.9088109,,2.416626,,1.3367829,0.38479710375531023,,,0.0360562,,0.50536096
83,1082,7Networks_LH_DorsAttn_Post_14,0.0,118.0,21.0,0.0,-29.0,-61.0,62.0,DorsAttn,LH,2.0,0.11729896068572998,0.11041316195674565,,,0.88027245,,0.23746614,,2.2227836,,0.9855197,-0.2231803247280669,,,-0.13424152,,0.26575297
84,1083,7Networks_LH_DorsAttn_Post_15,0.0,119.0,14.0,0.0,-7.0,-59.0,63.0,DorsAttn,LH,2.0,-0.2491898536682129,0.11041316195674565,,,0.5519017,,1.2844057,,1.7542427,,2.1465278,0.764604411315537,,,-0.11541918,,1.3373452
85,1084,7Networks_LH_DorsAttn_Post_16,0.0,119.0,15.0,0.0,-20.0,-57.0,66.0,DorsAttn,LH,2.0,-0.04511825367808342,0.11041316195674565,,,0.77396774,,0.48758405,,1.8243284,,1.4347774,0.8083558788414713,,,-0.19473886,,0.9252637
86,1085,7Networks_LH_DorsAttn_Post_17,0.0,119.0,16.0,0.0,-13.0,-50.0,72.0,DorsAttn,LH,2.0,-0.03155862167477608,0.11041316195674565,,,0.33969277,,0.7245292,,1.0917025,,2.0822449,0.16409468358957557,,,0.42113498,,1.7767614
87,1086,7Networks_LH_DorsAttn_FEF_1,0.0,118.0,22.0,0.0,-40.0,-3.0,51.0,DorsAttn,LH,2.0,0.2149718552827835,0.11041316195674565,,,-0.42483893,,-0.3741192,,-0.07832423,,1.3311931,0.4873887894021322,,,1.221164,,1.3753654
